,precision,recall,f1-score,support
fantasia,0.8476190476190476,0.8640776699029126,0.8557692307692307,103.0
inspiracion,0.8823529411764706,0.7894736842105263,0.8333333333333334,114.0
popular,0.926605504587156,0.9439252336448598,0.9351851851851852,107.0
tradicional,0.8775510204081632,0.9555555555555556,0.9148936170212766,90.0
accuracy,0.8840579710144928,0.8840579710144928,0.8840579710144928,0.8840579710144928
macro avg,0.8835321284477093,0.8882580358284635,0.8847953415772565,414.0
weighted avg,0.8841047778416422,0.8840579710144928,0.8829697369950736,414.0
